,0,0,0,1,1,1
649,0.007,0.023,0.006,0.01,0.006,0.014
650,0.006,0.023,0.004,0.005,0.005,0.012
651,0.003,0.018,0.001,0.0,0.002,0.004
652,0.002,0.019,0.001,0.0,0.001,0.002
653,0.003,0.025,0.002,0.002,0.003,0.009
654,0.002,0.028,0.0,-0.001,0.002,0.015
655,0.001,0.025,-0.001,-0.005,-0.001,0.014
656,-0.003,0.018,-0.005,-0.01,-0.004,0.008
657,-0.006,0.008,-0.006,-0.007,-0.006,0.004
658,-0.008,0.006,-0.008,-0.003,-0.008,0.002
659,-0.006,0.013,-0.005,0.001,-0.005,0.004
660,-0.001,0.023,-0.001,0.003,-0.001,0.01
661,0.005,0.028,0.003,0.004,0.003,0.014
662,0.01,0.031,0.006,0.004,0.006,0.018
663,0.011,0.036,0.008,0.007,0.009,0.024
664,0.011,0.037,0.01,0.009,0.011,0.025
665,0.007,0.027,0.007,0.007,0.008,0.017
666,0.001,0.02,0.002,0.001,0.003,0.01
667,-0.004,0.016,-0.003,-0.002,-0.001,0.008
668,-0.005,0.014,-0.005,-0.002,-0.005,0.004
669,-0.004,0.006,-0.004,0.0,-0.006,-0.006
670,-0.002,0.004,-0.003,-0.002,-0.006,-0.008
671,-0.001,0.008,-0.001,-0.003,-0.003,-0.003
672,0.001,0.016,0.0,-0.004,-0.001,0.002
673,0.001,0.017,0.002,-0.002,0.001,0.001
674,0.001,0.015,0.002,0.002,0.0,0.0
675,0.001,0.016,0.001,0.003,0.0,0.005
676,0.001,0.025,0.0,0.003,0.0,0.013
677,0.001,0.029,-0.002,0.001,-0.001,0.017
678,-0.001,0.027,-0.003,0.001,-0.004,0.016
679,-0.005,0.023,-0.006,-0.001,-0.007,0.015
680,-0.008,0.02,-0.007,-0.007,-0.009,0.014
681,-0.007,0.019,-0.006,-0.011,-0.007,0.016
682,-0.002,0.023,-0.002,-0.007,-0.002,0.022
683,0.004,0.028,0.002,0.003,0.003,0.026
684,0.006,0.026,0.003,0.007,0.004,0.028
685,0.003,0.025,0.002,0.007,0.004,0.026
686,0.001,0.025,0.001,0.005,0.003,0.022
687,0.004,0.025,0.002,0.004,0.002,0.016
688,0.005,0.021,0.003,0.003,0.002,0.01
689,0.003,0.016,0.002,-0.001,0.0,0.007
690,-0.001,0.013,-0.002,-0.004,-0.004,0.005
